YR,MON,AO Index
1982,1,-0.883410
1982,2,0.973910
1982,3,1.074100
1982,4,1.453800
1982,5,-0.208700
1982,6,-1.180100
1982,7,0.004775
1982,8,0.362230
1982,9,0.557720
1982,10,-0.210980
1982,11,0.660930
1982,12,0.967180
1983,1,1.359100
1983,2,-1.805900
1983,3,-0.567070
1983,4,-0.737760
1983,5,-0.440930
1983,6,0.312530
1983,7,0.130550
1983,8,1.097800
1983,9,0.166890
1983,10,1.368900
1983,11,-0.687930
1983,12,0.186250
1984,1,0.905040
1984,2,-0.302720
1984,3,-2.386000
1984,4,-0.283590
1984,5,0.479180
1984,6,0.007290
1984,7,0.018871
1984,8,0.465690
1984,9,-0.412760
1984,10,-0.270260
1984,11,-0.965870
1984,12,0.446000
1985,1,-2.805700
1985,2,-1.439800
1985,3,0.551440
1985,4,0.652420
1985,5,-0.432210
1985,6,-0.346560
1985,7,-0.389580
1985,8,-0.001429
1985,9,0.114410
1985,10,1.035100
1985,11,-1.217500
1985,12,-1.947600
1986,1,-0.567640
1986,2,-2.904100
1986,3,1.930800
1986,4,0.102990
1986,5,0.366870
1986,6,0.534570
1986,7,-0.008259
1986,8,-0.826290
1986,9,-0.023385
1986,10,1.424600
1986,11,0.925720
1986,12,0.059768
1987,1,-1.147600
1987,2,-1.473200
1987,3,-1.746500
1987,4,0.386970
1987,5,0.325240
1987,6,-0.710270
1987,7,-0.466270
1987,8,-0.835700
1987,9,0.286530
1987,10,-0.080009
1987,11,-0.535840
1987,12,-0.533910
1988,1,0.264660
1988,2,-1.066200
1988,3,-0.197070
1988,4,-0.560710
1988,5,-0.846140
1988,6,0.060528
1988,7,-0.143370
1988,8,0.254570
1988,9,1.039300
1988,10,0.032359
1988,11,-0.034655
1988,12,1.678800
1989,1,3.106000
1989,2,3.279300
1989,3,1.530300
1989,4,-0.250240
1989,5,0.888830
1989,6,0.344980
1989,7,0.865550
1989,8,0.550900
1989,9,0.703130
1989,10,0.990690
1989,11,0.033782
1989,12,-0.643650
1990,1,1.000700
1990,2,3.401600
1990,3,2.990000
1990,4,1.878800
1990,5,0.942820
1990,6,0.304300
1990,7,-0.295810
1990,8,-0.180240
1990,9,-0.210400
1990,10,0.660340
1990,11,0.520640
1990,12,1.276700
1991,1,0.723230
1991,2,-0.875990
1991,3,-0.526800
1991,4,0.530210
1991,5,0.486490
1991,6,-0.115360
1991,7,-0.187970
1991,8,0.796880
1991,9,-0.112210
1991,10,-0.251950
1991,11,0.284650
1991,12,1.613200
1992,1,0.550030
1992,2,1.121700
1992,3,0.984230
1992,4,-0.520530
1992,5,1.341400
1992,6,-0.301960
1992,7,0.191130
1992,8,0.535340
1992,9,-0.640300
1992,10,-0.365890
1992,11,0.716990
1992,12,1.626700
1993,1,3.495300
1993,2,0.184500
1993,3,0.764350
1993,4,-0.435450
1993,5,-1.607500
1993,6,-0.519510
1993,7,-0.510700
1993,8,-0.392990
1993,9,-0.360630
1993,10,-0.565010
1993,11,1.001800
1993,12,-0.104120
1994,1,-0.287850
1994,2,-0.861540
1994,3,1.881000
1994,4,0.224740
1994,5,-0.115450
1994,6,1.606300
1994,7,0.350740
1994,8,0.827530
1994,9,-0.084055
1994,10,0.174030
1994,11,1.779400
1994,12,0.893830
1995,1,-0.153770
1995,2,1.428900
1995,3,0.393230
1995,4,-0.963130
1995,5,-0.891200
1995,6,-0.111820
1995,7,-0.217080
1995,8,0.543590
1995,9,-0.549030
1995,10,0.075041
1995,11,-0.723270
1995,12,-2.127100
1996,1,-1.200400
1996,2,0.163210
1996,3,-1.483200
1996,4,-1.525100
1996,5,-0.226420
1996,6,0.496730
1996,7,0.714570
1996,8,0.124710
1996,9,-1.140000
1996,10,0.182530
1996,11,0.136370
1996,12,-1.720800
1997,1,-0.456770
1997,2,1.888700
1997,3,1.090800
1997,4,0.323630
1997,5,-0.961130
1997,6,-0.814990
1997,7,-0.430610
1997,8,0.120620
1997,9,0.194510
1997,10,-0.699710
1997,11,-0.661130
1997,12,-0.071116
1998,1,-2.080600
1998,2,-0.183180
1998,3,-0.254420
1998,4,-0.037912
1998,5,0.428640
1998,6,-0.710730
1998,7,-0.211670
1998,8,0.650330
1998,9,-1.049900
1998,10,0.294330
1998,11,-1.449400
1998,12,1.353400
1999,1,0.110350
1999,2,0.482130
1999,3,-1.491600
1999,4,0.284450
1999,5,0.225870
1999,6,0.707030
1999,7,-0.002042
1999,8,-0.672150
1999,9,0.059078
1999,10,-0.005802
1999,11,0.610940
1999,12,1.043100
2000,1,1.270200
2000,2,1.075800
2000,3,-0.451360
2000,4,-0.278520
2000,5,0.969090
2000,6,0.586100
2000,7,-0.649430
2000,8,0.143890
2000,9,0.394860
2000,10,0.316780
2000,11,-1.581500
2000,12,-2.354400
2001,1,-0.958830
2001,2,-0.622410
2001,3,-1.686500
2001,4,0.905980
2001,5,0.451960
2001,6,-0.015338
2001,7,-0.030988
2001,8,0.520500
2001,9,-0.706600
2001,10,0.707470
2001,11,0.818650
2001,12,-1.322400
2002,1,1.381300
2002,2,1.303500
2002,3,0.902000
2002,4,0.748410
2002,5,0.401360
2002,6,0.572740
2002,7,0.327640
2002,8,-0.228530
2002,9,-0.042744
2002,10,-1.488500
2002,11,-1.425100
2002,12,-1.592100
2003,1,-0.471670
2003,2,0.127800
2003,3,0.932970
2003,4,-0.178110
2003,5,1.016700
2003,6,-0.102120
2003,7,0.075316
2003,8,-0.280370
2003,9,0.466580
2003,10,-0.669810
2003,11,0.642420
2003,12,0.265210
2004,1,-1.685800
2004,2,-1.528500
2004,3,0.318060
2004,4,-0.409380
2004,5,-0.094252
2004,6,-0.235870
2004,7,-0.200540
2004,8,-0.720190
2004,9,0.855010
2004,10,-0.515420
2004,11,0.678270
2004,12,1.230100
2005,1,0.356170
2005,2,-1.270600
2005,3,-1.347900
2005,4,-0.046214
2005,5,-0.763360
2005,6,-0.383240
2005,7,-0.030247
2005,8,0.026141
2005,9,0.802390
2005,10,0.029768
2005,11,0.227690
2005,12,-2.103900
2006,1,-0.170470
2006,2,-0.155770
2006,3,-1.603800
2006,4,0.138330
2006,5,0.155810
2006,6,1.070800
2006,7,0.102700
2006,8,-0.265250
2006,9,0.606490
2006,10,-1.029100
2006,11,0.521310
2006,12,2.281700
2007,1,2.033800
2007,2,-1.306900
2007,3,1.182100
2007,4,0.544270
2007,5,0.893670
2007,6,-0.554960
2007,7,-0.396520
2007,8,-0.033738
2007,9,0.178920
2007,10,0.383480
2007,11,-0.518660
2007,12,0.821130
2008,1,0.818960
2008,2,0.938070
2008,3,0.585590
2008,4,-0.455010
2008,5,-1.204700
2008,6,-0.089780
2008,7,-0.479920
2008,8,-0.080482
2008,9,-0.326570
2008,10,1.675800
2008,11,0.092205
2008,12,0.647780
2009,1,0.799750
2009,2,-0.672300
2009,3,0.121340
2009,4,0.972530
2009,5,1.193700
2009,6,-1.350700
2009,7,-1.355900
2009,8,-0.053666
2009,9,0.874510
2009,10,-1.539900
2009,11,0.458850
2009,12,-3.412800
2010,1,-2.586800
2010,2,-4.265700
2010,3,-0.432080
2010,4,-0.274500
2010,5,-0.918640
2010,6,-0.013004
2010,7,0.435270
2010,8,-0.116600
2010,9,-0.864640
2010,10,-0.466970
2010,11,-0.375750
2010,12,-2.631000
2011,1,-1.683100
2011,2,1.575400
2011,3,1.424100
2011,4,2.274800
2011,5,-0.035093
2011,6,-0.857750
2011,7,-0.471620
2011,8,-1.062600
2011,9,0.664740
2011,10,0.799750
2011,11,1.459200
2011,12,2.220800
2012,1,-0.219660
2012,2,-0.036335
2012,3,1.037100
2012,4,-0.034571
2012,5,0.168410
2012,6,-0.672410
2012,7,0.167790
2012,8,0.013999
2012,9,0.772250
2012,10,-1.514000
2012,11,-0.110570
2012,12,-1.748600
2013,1,-0.609520
2013,2,-1.007400
2013,3,-3.185400
2013,4,0.322210
2013,5,0.494010
2013,6,0.548650
2013,7,-0.011112
2013,8,0.154250
2013,9,-0.460880
2013,10,0.262760
2013,11,2.029000
2013,12,1.474900
2014,1,-0.968760
2014,2,0.043775
2014,3,1.205800
2014,4,0.971970
2014,5,0.464210
2014,6,-0.507450
2014,7,-0.488940
2014,8,-0.371540
2014,9,0.101910
2014,10,-1.134400
2014,11,-0.530300